Rk Player Age Team Pos G GS MP PER TS% 3PAr FTr ORB% DRB% TRB% AST% STL% BLK% TOV% USG% OWS DWS WS WS/48 OBPM DBPM BPM VORP
Tyrese Haliburton 24 IND PG 38 38.0 1329.0 19.8 0.586 0.585 0.235 2.3 9.5 6.0 35.6 1.7 1.6 10.1 21.6 3.8 0.7 4.5 0.162 4.7 -0.9 3.8 2.0
De'Aaron Fox 27 SAC PG 35 35.0 1305.0 20.3 0.58 0.311 0.3 3.2 11.7 7.4 26.8 2.1 0.9 12.5 30.2 2.2 1.2 3.4 0.126 2.7 -0.9 1.8 1.2
Jalen Brunson 28 NYK PG 37 37.0 1296.0 21.7 0.597 0.332 0.383 1.5 8.0 4.9 32.9 1.2 0.1 10.0 29.1 4.4 0.7 5.1 0.189 4.5 -1.9 2.7 1.5
Trae Young 26 ATL PG 36 36.0 1285.0 18.7 0.564 0.5 0.414 1.5 9.1 5.2 48.5 1.6 0.5 17.6 27.7 2.5 0.5 3.0 0.114 3.3 -2.4 0.8 0.9
Shai Gilgeous-Alexander 26 OKC PG 36 36.0 1248.0 29.9 0.634 0.284 0.369 2.7 14.2 8.5 30.2 2.8 3.4 9.8 33.8 4.9 2.8 7.7 0.295 8.1 3.3 11.4 4.3
Fred VanVleet 30 HOU PG 35 35.0 1247.0 14.2 0.509 0.562 0.18 2.1 10.4 6.2 23.4 2.3 1.3 9.2 18.9 1.6 2.0 3.6 0.137 0.3 1.4 1.7 1.2
Cade Cunningham 23 DET PG 34 34.0 1210.0 19.8 0.553 0.326 0.227 3.0 17.7 10.4 43.6 1.3 2.2 16.4 31.5 1.4 1.2 2.7 0.105 3.5 -0.2 3.3 1.6
James Harden 35 LAC PG 35 35.0 1179.0 18.1 0.563 0.515 0.45 2.0 17.8 9.8 36.3 2.1 1.9 20.0 30.3 0.6 1.8 2.4 0.098 2.2 0.5 2.7 1.4
Dennis Schr̦der 31 2TM PG 35 35.0 1113.0 13.1 0.543 0.461 0.237 1.0 8.9 4.8 29.9 1.5 0.5 14.3 22.7 0.8 0.6 1.4 0.06 -0.9 -1.5 -2.5 -0.1
Dennis Schr̦der 31 BRK PG 23 23.0 772.0 16.3 0.588 0.462 0.249 0.6 10.1 5.2 33.0 1.7 0.5 14.1 24.0 1.2 0.4 1.6 0.097 1.3 -1.3 0.0 0.4
