Rk Player Age Team Pos G GS MP PER TS% 3PAr FTr ORB% DRB% TRB% AST% STL% BLK% TOV% USG% OWS DWS WS WS/48 OBPM DBPM BPM VORP
Patrick Williams 23 CHI PF 27 26.0 737.0 9.6 0.529 0.557 0.183 2.9 12.9 8.0 10.5 1.4 1.9 14.2 16.4 -0.2 0.5 0.3 0.018 -2.2 -0.6 -2.8 -0.2
Dorian Finney-Smith 31 2TM PF 25 20.0 701.0 12.0 0.616 0.679 0.144 6.3 11.7 8.9 7.9 1.5 1.7 9.1 13.8 1.0 0.4 1.3 0.092 -0.1 -0.4 -0.5 0.3
Dorian Finney-Smith 31 BRK PF 20 20.0 579.0 12.4 0.613 0.679 0.151 6.1 12.6 9.2 8.1 1.5 2.1 9.6 14.3 0.7 0.4 1.1 0.09 0.1 -0.2 0.0 0.3
Dorian Finney-Smith 31 LAL PF 5 0.0 122.0 10.5 0.631 0.679 0.107 7.4 7.3 7.4 6.7 1.2 0.0 6.4 11.3 0.2 0.0 0.3 0.1 -1.1 -1.5 -2.6 0.0
Obi Toppin 26 IND PF 35 0.0 692.0 19.1 0.661 0.467 0.196 4.5 18.6 11.7 12.2 1.8 1.6 7.7 18.8 1.7 0.6 2.3 0.161 2.6 0.0 2.6 0.8
Miles Bridges 26 CHO PF 22 22.0 684.0 16.2 0.526 0.437 0.23 2.9 24.4 13.3 19.8 1.1 1.9 10.3 25.7 0.4 0.8 1.2 0.081 0.9 -0.1 0.8 0.5
Jimmy Butler 35 MIA PF 22 22.0 678.0 23.9 0.648 0.138 0.651 8.3 11.1 9.7 24.4 2.0 1.1 8.3 21.2 2.8 0.7 3.5 0.251 4.6 0.7 5.3 1.2
Jarace Walker 21 IND PF 38 1.0 663.0 12.2 0.59 0.526 0.263 2.3 17.9 10.2 11.1 2.8 1.7 17.2 16.7 0.1 0.7 0.8 0.056 -1.7 0.7 -0.9 0.2
Nicolas Batum 36 LAC PF 37 1.0 655.0 8.9 0.563 0.813 0.121 4.1 13.1 8.6 11.0 1.7 2.1 15.1 8.7 0.5 0.8 1.3 0.097 -2.1 1.6 -0.5 0.2
Brandon Clarke 28 MEM PF 35 18.0 650.0 15.7 0.616 0.082 0.195 10.0 18.3 14.3 6.8 2.0 2.5 7.8 14.0 1.2 1.1 2.3 0.173 -1.1 1.2 0.2 0.4
Jeremy Sochan 21 SAS PF 22 19.0 637.0 16.6 0.588 0.178 0.32 9.9 19.3 14.7 13.7 1.5 1.9 13.8 19.5 0.8 0.8 1.6 0.12 -0.1 0.5 0.4 0.4
Dean Wade 28 CLE PF 28 19.0 636.0 12.1 0.584 0.843 0.171 4.4 19.5 12.2 7.8 1.9 2.0 5.6 10.8 0.9 0.9 1.8 0.137 0.3 1.4 1.7 0.6
Sam Hauser 27 BOS PF 30 6.0 633.0 12.7 0.595 0.856 0.01 3.8 11.9 7.8 7.1 1.7 0.9 4.4 14.0 1.0 0.7 1.7 0.131 0.7 0.1 0.7 0.4
Jeremiah Robinson-Earl 24 NOP PF 33 5.0 617.0 13.3 0.548 0.455 0.163 10.4 17.7 13.9 9.1 1.9 0.6 12.0 14.8 0.6 0.3 0.9 0.067 -1.0 -1.5 -2.5 -0.1
Tidjane SalaÃ¼n 19 CHO PF 31 8.0 591.0 7.6 0.439 0.628 0.189 5.9 18.5 12.0 8.2 1.6 1.0 12.8 14.5 -0.4 0.6 0.2 0.013 -4.3 -0.1 -4.4 -0.4
Nikola JoviÄ 21 MIA PF 27 10.0 586.0 14.9 0.579 0.503 0.313 3.0 15.4 9.3 14.9 1.9 1.0 9.0 18.3 0.8 0.7 1.5 0.125 0.2 0.5 0.7 0.4
Chris Boucher 32 TOR PF 33 0.0 573.0 19.1 0.598 0.498 0.267 8.2 19.3 13.7 5.6 1.8 3.5 7.2 22.4 1.1 0.4 1.5 0.122 3.0 -1.0 2.0 0.6
Noah Clowney 20 BRK PF 27 8.0 573.0 11.1 0.57 0.691 0.184 4.8 16.7 10.6 6.3 1.0 2.1 10.4 19.2 0.2 0.3 0.6 0.049 -1.5 -1.2 -2.7 -0.1
Jonathan Mogbo 23 TOR PF 35 6.0 573.0 13.5 0.529 0.169 0.324 12.1 16.6 14.3 13.1 2.2 2.7 15.5 14.6 0.5 0.4 0.9 0.075 -1.7 0.3 -1.4 0.1
Trey Lyles 29 SAC PF 27 2.0 561.0 11.8 0.57 0.712 0.203 5.4 19.1 12.2 5.6 1.5 2.3 9.7 14.1 0.5 0.6 1.1 0.093 -0.4 -0.6 -1.0 0.2
Jonathan Isaac 27 ORL PF 33 0.0 550.0 15.4 0.504 0.5 0.292 11.5 22.2 16.6 4.1 2.3 7.4 8.7 16.4 0.3 1.3 1.6 0.136 -1.6 1.6 0.0 0.3
