Rk Player Age Team Pos G GS MP PER TS% 3PAr FTr ORB% DRB% TRB% AST% STL% BLK% TOV% USG% OWS DWS WS WS/48 OBPM DBPM BPM VORP
Caris LeVert 30 CLE SF 31 1.0 749.0 16.7 0.62 0.498 0.28 2.3 10.1 6.3 20.2 1.9 1.8 11.9 18.8 1.6 0.8 2.4 0.157 2.0 0.6 2.6 0.9
Naji Marshall 27 DAL SF 29 11.0 692.0 14.2 0.585 0.305 0.201 4.5 10.6 7.6 13.6 1.7 0.3 12.9 19.1 0.8 0.6 1.4 0.097 -0.5 -0.3 -0.7 0.2
Herbert Jones 26 NOP SF 20 20.0 648.0 10.7 0.541 0.419 0.233 3.5 9.9 6.6 14.2 2.8 1.3 15.6 14.6 0.2 0.3 0.5 0.035 -3.7 0.0 -3.8 -0.3
Ryan Dunn 22 PHO SF 32 16.0 625.0 10.3 0.532 0.589 0.071 4.7 12.9 8.9 6.2 1.3 3.5 6.9 15.4 0.2 0.4 0.6 0.044 -2.8 -0.6 -3.4 -0.2
Simone Fontecchio 29 DET SF 33 0.0 609.0 9.7 0.562 0.642 0.246 4.2 13.9 9.1 6.9 1.0 0.8 13.1 16.0 0.3 0.4 0.7 0.054 -1.9 -1.3 -3.2 -0.2
Ron Holland 19 DET SF 38 1.0 606.0 10.4 0.559 0.365 0.222 3.5 16.6 10.1 6.9 1.4 1.0 13.9 18.3 0.0 0.6 0.6 0.046 -3.9 -0.5 -4.4 -0.4
Brandon Ingram 27 NOP SF 18 18.0 595.0 16.6 0.56 0.345 0.165 3.0 16.0 9.2 27.7 1.3 1.7 16.2 30.2 0.0 0.2 0.1 0.011 1.6 -2.0 -0.4 0.2
Ziaire Williams 23 BRK SF 25 10.0 552.0 11.9 0.53 0.456 0.269 5.2 19.6 12.1 9.6 2.1 1.8 11.1 19.4 0.1 0.5 0.6 0.051 -3.0 -0.2 -3.1 -0.2
Cam Reddish 25 LAL SF 28 8.0 524.0 8.0 0.544 0.526 0.269 2.8 9.4 6.1 5.4 2.8 1.7 12.1 8.3 0.1 0.4 0.6 0.052 -4.1 1.5 -2.6 -0.1
Julian Phillips 21 CHI SF 36 3.0 492.0 9.6 0.553 0.585 0.237 6.2 8.6 7.4 4.2 1.8 1.4 9.1 13.9 0.3 0.3 0.5 0.052 -2.8 -0.8 -3.6 -0.2
Brice Sensabaugh 21 UTA SF 28 0.0 490.0 14.6 0.633 0.594 0.132 4.3 13.0 8.8 11.7 1.7 0.6 16.1 21.3 0.5 0.1 0.6 0.062 1.3 -1.3 -0.1 0.2
Justin Champagnie 23 WAS SF 18 13.0 451.0 15.7 0.642 0.473 0.145 8.8 17.1 13.0 6.8 2.2 3.0 12.6 14.7 0.6 0.3 0.9 0.1 -0.2 0.2 0.0 0.2
Matas Buzelis 20 CHI SF 35 0.0 446.0 9.2 0.476 0.503 0.186 5.0 15.8 10.4 5.3 1.0 5.4 9.8 18.0 -0.4 0.4 0.0 0.004 -4.6 -0.8 -5.4 -0.4
Kris Murray 24 POR SF 31 0.0 424.0 10.2 0.524 0.404 0.202 7.3 10.5 8.9 8.9 1.5 1.3 12.0 13.9 0.2 0.1 0.3 0.034 -2.0 -0.8 -2.8 -0.1
Jamison Battle 23 TOR SF 31 0.0 420.0 13.3 0.645 0.739 0.101 5.0 10.6 7.8 10.0 0.5 0.9 7.7 15.6 0.8 0.0 0.8 0.093 1.9 -1.8 0.1 0.2
Jett Howard 21 ORL SF 36 0.0 407.0 8.9 0.512 0.713 0.1 4.1 9.6 6.7 8.8 0.6 1.4 9.2 19.7 0.0 0.5 0.4 0.049 -2.2 -1.2 -3.5 -0.2
Jordan Miller 25 LAC SF 23 0.0 328.0 11.9 0.507 0.299 0.256 7.4 9.5 8.5 13.6 1.9 0.9 13.3 19.7 0.0 0.4 0.4 0.059 -2.1 -0.5 -2.7 -0.1
Khris Middleton 33 MIL SF 13 7.0 306.0 15.5 0.557 0.4 0.238 1.5 18.5 10.2 30.6 1.6 0.6 15.8 24.4 0.2 0.4 0.6 0.098 -0.5 0.7 0.2 0.2
Ausar Thompson 22 DET SF 16 5.0 290.0 14.7 0.538 0.188 0.238 8.9 18.8 13.9 14.3 4.0 1.7 17.7 20.0 0.0 0.5 0.5 0.077 -3.0 2.0 -1.0 0.1
