Rk                            Player                        Age                           Team                          Pos                           G                             GS                            MP                            PER                           TS%                           3PAr                          FTr                           ORB%                          DRB%                          TRB%                          AST%                          STL%                          BLK%                          TOV%                          USG%                          OWS                           DWS                           WS                            WS/48                         OBPM                          DBPM                          BPM                           VORP                          Awards                        
Karl-Anthony Towns            29                            NYK                           C                             35                            35                            1210                          26.9                          .663                          .293                          .363                          10.4                          35.3                          23.2                          15.1                          1.4                           2.4                           11.8                          27.4                          4.4                           2.0                           6.4                           .254                          5.4                           0.4                           5.9                           2.4                                                         
Cade Cunningham               23                            DET                           PG                            34                            34                            1210                          19.8                          .553                          .326                          .227                          3.0                           17.7                          10.4                          43.6                          1.3                           2.2                           16.4                          31.5                          1.4                           1.2                           2.7                           .105                          3.5                           -0.2                          3.3                           1.6                                                         
Keegan Murray                 24                            SAC                           PF                            34                            34                            1206                          10.4                          .513                          .511                          .105                          7.0                           16.4                          11.7                          5.3                           1.0                           2.2                           7.4                           14.9                          0.6                           1.0                           1.6                           .066                          -2.0                          -1.2                          -3.2                          -0.4                                                        
Derrick White                 30                            BOS                           SG                            35                            35                            1202                          17.0                          .611                          .697                          .159                          3.0                           11.3                          7.2                           18.6                          1.4                           3.3                           10.9                          19.8                          2.6                           1.5                           4.1                           .162                          3.1                           0.6                           3.8                           1.8                                                         
Anthony Davis                 31                            LAL                           C                             34                            34                            1188                          26.6                          .598                          .124                          .458                          8.5                           29.5                          19.1                          17.4                          1.8                           5.6                           9.6                           30.0                          3.0                           1.8                           4.8                           .194                          4.2                           1.0                           5.2                           2.2                                                         
Ivica Zubac                   27                            LAC                           C                             37                            37                            1188                          20.4                          .614                          .000                          .271                          13.0                          30.3                          21.6                          12.8                          1.0                           3.6                           13.0                          18.7                          2.3                           2.0                           4.3                           .175                          1.3                           0.5                           1.7                           1.1                                                         
James Harden                  35                            LAC                           PG                            35                            35                            1179                          18.1                          .563                          .515                          .450                          2.0                           17.8                          9.8                           36.3                          2.1                           1.9                           20.0                          30.3                          0.6                           1.8                           2.4                           .098                          2.2                           0.5                           2.7                           1.4                                                         
Kentavious Caldwell-Pope      31                            ORL                           SG                            38                            38                            1178                          10.3                          .559                          .635                          .177                          1.1                           6.7                           3.8                           9.4                           2.6                           2.0                           9.2                           12.9                          0.7                           1.9                           2.6                           .107                          -3.0                          2.3                           -0.7                          0.4                                                         
Jalen Williams                23                            OKC                           SG                            36                            36                            1173                          19.8                          .560                          .300                          .201                          2.8                           15.8                          9.4                           24.9                          2.7                           2.2                           11.0                          27.3                          1.4                           2.6                           4.0                           .163                          2.1                           2.0                           4.0                           1.8                                                         
Christian Braun               23                            DEN                           SG                            35                            35                            1171                          14.2                          .643                          .272                          .287                          3.9                           11.1                          7.6                           8.4                           1.7                           1.6                           9.2                           15.0                          2.1                           0.9                           2.9                           .121                          -0.4                          -0.3                          -0.7                          0.4                                                         
Alperen ÅengÃ¼n              22                            HOU                           C                             37                            37                            1165                          22.6                          .545                          .096                          .322                          11.1                          24.2                          17.5                          25.9                          1.9                           2.6                           12.4                          26.5                          2.3                           2.4                           4.6                           .191                          3.6                           2.2                           5.8                           2.3                                                         
Jalen Johnson                 23                            ATL                           SF                            32                            32                            1163                          18.1                          .584                          .269                          .229                          5.3                           25.1                          15.0                          21.7                          1.9                           2.7                           15.1                          22.4                          1.2                           1.3                           2.5                           .102                          1.0                           1.1                           2.0                           1.2                                                         
Nikola VuÄeviÄ              34                            CHI                           C                             36                            36                            1157                          21.3                          .640                          .321                          .138                          7.4                           25.2                          16.4                          15.8                          1.1                           1.8                           9.1                           22.5                          2.9                           1.0                           3.9                           .163                          3.3                           -0.4                          2.9                           1.4                                                         
LeBron James                  40                            LAL                           SF                            33                            33                            1152                          22.5                          .597                          .317                          .240                          2.9                           21.7                          12.3                          43.8                          1.1                           1.4                           15.5                          29.7                          2.3                           0.9                           3.2                           .132                          5.1                           0.0                           5.1                           2.1                                                         
Coby White                    24                            CHI                           SG                            35                            35                            1151                          14.0                          .581                          .582                          .216                          1.2                           9.5                           5.4                           20.0                          1.6                           0.4                           13.1                          23.2                          0.9                           0.5                           1.4                           .060                          -0.3                          -1.5                          -1.8                          0.1                                                         
Nikola JokiÄ                 29                            DEN                           C                             31                            31                            1150                          32.4                          .642                          .223                          .299                          10.6                          27.2                          19.2                          43.3                          2.2                           1.5                           11.7                          31.6                          5.6                           1.6                           7.2                           .299                          10.5                          2.6                           13.1                          4.3                                                         
Tobias Harris                 32                            DET                           PF                            36                            36                            1146                          13.6                          .555                          .374                          .199                          3.6                           18.8                          11.2                          11.2                          1.1                           2.6                           9.1                           17.7                          1.1                           1.2                           2.3                           .097                          -0.6                          0.1                           -0.4                          0.4                                                         
Dyson Daniels                 21                            ATL                           SG                            34                            34                            1136                          13.9                          .510                          .314                          .112                          4.9                           11.1                          8.0                           14.9                          4.3                           2.4                           12.0                          17.6                          0.1                           1.5                           1.6                           .067                          -2.2                          2.4                           0.3                           0.7                                                         
Devin Booker                  28                            PHO                           SG                            31                            31                            1134                          19.8                          .570                          .411                          .381                          3.2                           8.4                           5.9                           30.9                          1.4                           0.7                           9.7                           28.7                          2.8                           0.3                           3.1                           .131                          2.9                           -2.0                          0.9                           0.8                                                         
DeMar DeRozan                 35                            SAC                           SF                            32                            32                            1132                          17.1                          .568                          .146                          .332                          1.8                           10.1                          5.9                           16.2                          1.8                           1.1                           8.0                           24.1                          1.8                           0.9                           2.8                           .117                          0.1                           -0.6                          -0.5                          0.4                                                         
Toumani Camara                24                            POR                           PF                            36                            36                            1118                          10.9                          .546                          .519                          .145                          7.4                           11.9                          9.6                           8.8                           2.2                           1.4                           14.4                          13.8                          0.6                           0.6                           1.2                           .051                          -1.9                          -0.3                          -2.2                          0.0                                                         
Brook Lopez                   36                            MIL                           C                             35                            35                            1117                          14.0                          .604                          .544                          .129                          4.1                           12.2                          8.3                           7.1                           1.3                           5.6                           9.8                           15.6                          1.1                           1.5                           2.6                           .112                          -0.3                          0.9                           0.6                           0.7                                                         
Dennis SchrÃ¶der              31                            2TM                           PG                            35                            35                            1113                          13.1                          .543                          .461                          .237                          1.0                           8.9                           4.8                           29.9                          1.5                           0.5                           14.3                          22.7                          0.8                           0.6                           1.4                           .060                          -0.9                          -1.5                          -2.5                          -0.1                                                        
Dennis SchrÃ¶der              31                            BRK                           PG                            23                            23                            772                           16.3                          .588                          .462                          .249                          0.6                           10.1                          5.2                           33.0                          1.7                           0.5                           14.1                          24.0                          1.2                           0.4                           1.6                           .097                          1.3                           -1.3                          0.0                           0.4                                                         
Dennis SchrÃ¶der              31                            GSW                           PG                            12                            12                            341                           5.9                           .426                          .460                          .206                          1.8                           6.3                           4.0                           22.7                          1.0                           0.6                           14.9                          19.8                          -0.4                          0.2                           -0.2                          -0.023                        -5.9                          -2.0                          -7.9                          -0.5                                                        
Jaden McDaniels               24                            MIN                           PF                            37                            37                            1110                          10.5                          .523                          .433                          .130                          5.2                           12.0                          8.7                           7.5                           2.2                           2.3                           10.3                          15.0                          0.3                           1.7                           1.9                           .084                          -2.9                          1.4                           -1.5                          0.1                                                         
Jamal Murray                  27                            DEN                           PG                            30                            30                            1101                          15.8                          .547                          .356                          .234                          1.6                           10.4                          6.2                           23.2                          2.1                           1.6                           11.0                          22.9                          1.2                           0.9                           2.1                           .093                          0.3                           -0.6                          -0.3                          0.5                                                         
Donovan Mitchell              28                            CLE                           SG                            35                            35                            1100                          20.2                          .585                          .512                          .203                          1.8                           13.3                          7.7                           21.5                          2.2                           0.7                           9.4                           29.5                          2.1                           1.4                           3.5                           .152                          3.3                           -0.3                          3.0                           1.4                                                         
Myles Turner                  28                            IND                           C                             35                            35                            1095                          15.3                          .602                          .437                          .247                          5.3                           19.8                          12.6                          7.0                           1.3                           6.2                           14.6                          20.4                          0.5                           1.2                           1.6                           .072                          -0.8                          0.0                           -0.8                          0.3                                                         
Ochai Agbaji                  24                            TOR                           SG                            37                            33                            1090                          11.7                          .606                          .462                          .089                          3.4                           10.9                          7.1                           8.4                           1.4                           1.7                           8.4                           13.8                          1.3                           0.2                           1.5                           .066                          -0.7                          -0.5                          -1.2                          0.2                                                         
Darius Garland                25                            CLE                           PG                            36                            36                            1087                          21.9                          .636                          .452                          .216                          1.7                           7.5                           4.6                           32.1                          1.8                           0.7                           12.4                          26.8                          3.6                           1.0                           4.7                           .206                          4.9                           -0.8                          4.2                           1.7                                                         
Anfernee Simons               25                            POR                           SG                            34                            34                            1086                          15.0                          .559                          .520                          .169                          1.0                           8.4                           4.6                           25.2                          1.4                           0.2                           12.4                          24.9                          1.2                           0.1                           1.4                           .061                          1.3                           -2.3                          -1.0                          0.3                                                         
Malik Beasley                 28                            DET                           SG                            38                            11                            1085                          14.2                          .568                          .696                          .114                          2.2                           9.8                           6.0                           10.3                          1.5                           0.2                           7.0                           23.1                          1.2                           0.7                           1.9                           .083                          1.4                           -1.5                          -0.1                          0.5                                                         
Tyrese Maxey                  24                            PHI                           PG                            29                            29                            1081                          19.1                          .546                          .459                          .271                          0.5                           10.2                          5.1                           27.5                          2.8                           1.1                           9.4                           30.4                          1.2                           1.1                           2.3                           .103                          2.7                           -0.3                          2.4                           1.2                                                         
