Rk Player Age Team Pos G GS MP PER TS% 3PAr FTr ORB% DRB% TRB% AST% STL% BLK% TOV% USG% OWS DWS WS WS/48 OBPM DBPM BPM VORP
Jonas ValanÄiÅ«nas 32 WAS C 35 8.0 702.0 21.5 0.605 0.064 0.244 12.6 29.4 21.0 19.2 1.1 3.4 16.9 24.5 1.0 0.6 1.6 0.108 1.4 -0.4 1.0 0.5
Isaiah Hartenstein 26 OKC C 21 20.0 632.0 19.3 0.588 0.052 0.289 9.8 32.6 21.4 19.2 1.4 4.3 15.1 17.4 1.1 1.7 2.8 0.211 0.4 3.2 3.5 0.9
Mason Plumlee 34 PHO C 35 13.0 617.0 14.1 0.607 0.011 0.626 10.2 29.9 20.3 14.3 1.1 4.0 21.1 10.5 0.9 0.7 1.6 0.126 -1.9 1.1 -0.7 0.2
Jusuf NurkiÄ 30 PHO C 25 23.0 592.0 12.8 0.556 0.362 0.423 8.8 33.6 21.5 11.2 1.9 2.5 22.8 18.7 -0.2 0.8 0.6 0.049 -3.8 0.4 -3.4 -0.2
Moritz Wagner 27 ORL C 30 1.0 564.0 22.4 0.649 0.301 0.442 7.9 23.4 15.3 13.8 2.1 2.1 14.1 26.7 1.1 1.1 2.2 0.187 2.9 1.4 4.3 0.9
Moussa DiabatÃ© 23 CHO C 30 4.0 537.0 14.0 0.592 0.0 0.329 17.7 23.3 20.4 5.0 1.7 4.1 23.7 9.0 0.5 0.7 1.3 0.114 -2.7 0.1 -2.6 -0.1
Luke Kornet 29 BOS C 31 3.0 519.0 18.4 0.657 0.0 0.5 13.6 19.1 16.4 11.7 1.3 5.6 10.1 10.0 1.6 0.9 2.5 0.232 1.3 2.2 3.5 0.7
Jay Huff 26 MEM C 34 1.0 515.0 17.9 0.686 0.65 0.232 3.8 13.3 8.7 7.0 0.9 6.3 10.1 19.1 1.2 0.8 1.9 0.181 2.7 1.1 3.8 0.8
Zach Edey 22 MEM C 24 17.0 511.0 18.0 0.636 0.14 0.31 17.1 19.4 18.3 5.9 1.4 4.8 16.7 18.1 0.8 0.9 1.7 0.163 -0.4 0.2 -0.3 0.2
Jalen Smith 24 CHI C 33 1.0 507.0 18.2 0.591 0.549 0.245 10.0 27.4 18.8 7.5 1.0 4.2 8.1 20.2 0.9 0.6 1.4 0.136 0.7 -0.9 -0.1 0.2
Andre Drummond 31 PHI C 26 14.0 491.0 15.1 0.534 0.069 0.417 15.4 34.0 24.2 4.5 3.1 2.1 20.1 19.1 -0.2 0.9 0.8 0.075 -3.3 -0.2 -3.5 -0.2
Kevon Looney 28 GSW C 31 5.0 486.0 18.6 0.538 0.0 0.352 19.7 25.6 22.6 14.8 2.5 1.8 11.4 14.4 1.0 0.9 1.9 0.187 -0.3 0.7 0.4 0.3
Neemias Queta 25 BOS C 30 5.0 475.0 16.2 0.678 0.018 0.294 11.4 18.2 14.8 5.6 1.0 4.8 14.0 13.0 1.1 0.7 1.8 0.18 -1.6 0.8 -0.8 0.1
Donovan Clingan 20 POR C 29 7.0 467.0 16.8 0.578 0.15 0.252 17.8 23.7 20.7 5.2 1.2 9.0 19.0 15.6 0.4 0.6 1.0 0.102 -2.4 0.5 -2.0 0.0
Kyle Filipowski 21 UTA C 26 8.0 455.0 12.0 0.569 0.391 0.365 5.7 23.7 14.9 14.8 1.6 0.8 17.3 14.9 0.3 0.3 0.6 0.063 -2.2 0.1 -2.0 0.0
Nick Richards 27 CHO C 20 9.0 423.0 17.6 0.617 0.009 0.791 11.5 27.7 19.3 9.6 0.7 6.2 17.8 18.0 0.6 0.6 1.2 0.133 -2.2 0.3 -1.9 0.0
Daniel Theis 32 NOP C 28 7.0 413.0 12.7 0.564 0.31 0.276 7.0 23.6 14.9 13.4 1.3 3.6 14.8 11.7 0.4 0.3 0.7 0.083 -3.0 0.1 -2.9 -0.1
Zach Collins 27 SAS C 29 4.0 392.0 14.0 0.552 0.352 0.28 9.6 15.4 12.5 17.4 1.6 2.9 14.1 17.8 0.5 0.5 0.9 0.116 -2.0 1.3 -0.7 0.1
Kristaps PorziÅÄ£is 29 BOS C 14 14.0 390.0 21.8 0.589 0.425 0.382 7.0 19.6 13.3 9.5 1.4 4.4 6.1 25.7 1.0 0.6 1.7 0.205 3.0 0.7 3.6 0.6
Joel Embiid 30 PHI C 13 13.0 383.0 25.2 0.591 0.224 0.511 6.3 25.7 15.5 24.7 1.4 3.5 13.3 35.5 0.8 0.5 1.3 0.161 4.2 0.3 4.4 0.6
Drew Eubanks 27 UTA C 27 0.0 372.0 15.0 0.639 0.046 0.425 8.4 22.9 15.8 12.7 0.9 4.3 19.5 14.5 0.5 0.2 0.7 0.092 -1.2 0.6 -0.6 0.1
Jericho Sims 26 NYK C 32 3.0 372.0 9.9 0.643 0.0 0.237 13.0 21.8 17.6 6.4 0.9 2.6 31.2 7.2 0.4 0.4 0.8 0.1 -2.9 0.0 -2.8 -0.1
DeAndre Jordan 36 DEN C 24 1.0 271.0 14.2 0.608 0.0 0.351 10.9 29.6 20.6 10.2 1.4 3.3 19.6 12.7 0.3 0.4 0.6 0.113 -2.0 0.6 -1.4 0.0
Thomas Bryant 27 2TM C 22 1.0 269.0 19.1 0.643 0.494 0.2 10.2 20.7 15.5 7.5 1.3 4.6 5.1 15.8 0.7 0.3 1.1 0.191 1.8 0.2 2.0 0.3
Thomas Bryant 27 MIA C 10 0.0 115.0 15.9 0.624 0.607 0.393 5.8 24.3 15.2 4.9 0.4 7.5 5.7 13.4 0.2 0.2 0.4 0.173 -0.9 0.9 0.0 0.1
Thomas Bryant 27 IND C 12 1.0 154.0 21.5 0.654 0.439 0.105 13.5 18.0 15.8 9.4 1.9 2.4 4.8 17.6 0.5 0.1 0.7 0.204 3.9 -0.4 3.5 0.2
Chet Holmgren 22 OKC C 10 10.0 265.0 22.5 0.619 0.333 0.441 6.5 28.1 17.4 11.0 1.5 10.0 14.8 25.1 0.4 0.7 1.1 0.198 2.1 3.5 5.6 0.5
Mark Williams 23 CHO C 13 10.0 261.0 26.1 0.663 0.01 0.382 12.3 29.3 20.5 18.2 1.3 4.6 10.5 21.5 0.9 0.4 1.3 0.246 3.6 1.8 5.3 0.5
Charles Bassey 24 SAS C 25 0.0 259.0 18.4 0.578 0.0 0.294 15.3 25.7 20.6 6.6 1.5 7.9 15.0 18.7 0.2 0.5 0.7 0.133 -2.7 0.6 -2.2 0.0
Steven Adams 31 HOU C 24 0.0 253.0 14.5 0.557 0.0 0.86 20.8 23.7 22.2 12.5 1.2 1.8 28.8 13.6 0.1 0.5 0.6 0.11 -0.9 0.3 -0.7 0.1
Day'Ron Sharpe 23 BRK C 15 0.0 251.0 17.9 0.514 0.208 0.24 18.2 24.7 21.3 14.2 2.4 2.8 13.1 21.4 0.2 0.3 0.6 0.106 -0.9 -0.4 -1.2 0.0
Mo Bamba 26 LAC C 20 0.0 251.0 13.1 0.502 0.473 0.203 7.5 28.4 17.9 6.8 1.7 8.3 13.0 15.9 0.0 0.6 0.5 0.099 -3.7 2.3 -1.5 0.0
Kel'el Ware 20 MIA C 21 0.0 248.0 19.3 0.662 0.253 0.229 6.2 20.4 13.4 6.6 2.0 6.6 11.6 18.4 0.4 0.4 0.8 0.159 -0.1 1.2 1.1 0.2
Jaxson Hayes 24 LAL C 15 2.0 238.0 15.7 0.693 0.0 0.644 11.9 17.3 14.6 6.4 1.2 4.6 13.5 12.3 0.6 0.2 0.8 0.163 -2.3 0.0 -2.2 0.0
