Name
Jalen Brunson PG
Karl-Anthony Towns C
Mikal Bridges SF
OG Anunoby SF
Josh Hart SG
Miles McBride PG
Cameron Payne PG
Precious Achiuwa PF
Landry Shamet SG
Tyler Kolek G
Ariel Hukporti C
Jericho Sims C
Pacome Dadiet G
Matt Ryan F
Jacob Toppin F
Total
